ID,Item,Price,img_route
1,Chobani - Vanilla,3.35,assets/images/items/Bowow-Builder-Images/Chobani - Vanilla.webp
2,Chobani - Vanilla,3.35,assets/images/items/Bowow-Builder-Images/Chobani - Vanilla.webp
3,Chobani - Non Fat Plain,3.35,assets/images/items/Bowow-Builder-Images/Chobani - Non Fat Plain.webp
4,Chobani - Less Sugar Wild Blueberry,3.35,assets/images/items/Bowow-Builder-Images/Chobani - Less Sugar Wild Blueberry.webp
5,Cocojune - Strawberry Rhubarb Yogurt,3.9,assets/images/items/Bowow-Builder-Images/Cocojune - Strawberry Rhubarb Yogurt.webp
6,Cocojune - Coconut Yogurt,3.9,assets/images/items/Bowow-Builder-Images/Cocojune - Coconut Yogurt.webp
7,La fermiere - Mango Passion fruit,4.5,assets/images/items/Bowow-Builder-Images/La fermiere - Mango Passion fruit.webp
8,La fermiere - Hibiscus Rasberry,4.5,assets/images/items/Bowow-Builder-Images/La fermiere - Hibiscus Rasberry.webp
9,La fermiere - Vanilla,4.5,assets/images/items/Bowow-Builder-Images/La fermiere - Vanilla.webp
10,Siggi's - Black Cherry,3.9,assets/images/items/Bowow-Builder-Images/Siggi's - Black Cherry.webp
11,Siggi's - Vanilla,3.9,assets/images/items/Bowow-Builder-Images/Siggi's - Vanilla.webp
12,Pocky Sticks - Strawberry,2.80,assets/images/items/Bowow-Builder-Images/Pocky Sticks - Strawberry.webp
13,Pocky Sticks - Chocolate,2.80,assets/images/items/Bowow-Builder-Images/Pocky Sticks - Chocolate.webp
14,Pocky Sticks - Matcha,2.80,assets/images/items/Bowow-Builder-Images/Pocky Sticks - Matcha.webp
15,Greystone - Vegan Fudge Brownie,3.00,assets/images/items/Bowow-Builder-Images/Greystone - Vegan Fudge Brownie.webp
16,Greystone - Vegan Cinnamon Roll,3.00,assets/images/items/Bowow-Builder-Images/Greystone - Vegan Cinnamon Roll.webp
17,La Fermieroe Dessert - Pistachio Creme,4.50,assets/images/items/Bowow-Builder-Images/La Fermieroe Dessert - Pistachio Creme.webp
18,Marie Morin Dessert - Mousse Cake,4.50,assets/images/items/Bowow-Builder-Images/Marie Morin Dessert - Mousse Cake.webp
19,Marie Morin Dessert - Cheesecake,4.50,assets/images/items/Bowow-Builder-Images/Marie Morin Dessert - Cheesecake.webp
20,Kozyshack - Rice Pudding,1.10,assets/images/items/Bowow-Builder-Images/Kozyshack - Rice Pudding.webp
21,Swiss Rolls - Strawberry,6.00,assets/images/items/Bowow-Builder-Images/Swiss Rolls - Strawberry.webp
22,Swiss Rolls - Cocoa,6.00,assets/images/items/Bowow-Builder-Images/Swiss Rolls - Cocoa.webp
23,Swiss Rolls - Old Fashion,6.00,assets/images/items/Bowow-Builder-Images/Swiss Rolls - Old Fashion.webp
24,Swiss Rolls - Green Tea,6.00,assets/images/items/Bowow-Builder-Images/Swiss Rolls - Green Tea.webp
25,Hail Merry Cups - Key Lime Pie,4.50,assets/images/items/Bowow-Builder-Images/Hail Merry Cups - Key Lime Pie.webp
26,Hail Merry Cups - Espresso,4.50,assets/images/items/Bowow-Builder-Images/Hail Merry Cups - Espresso.webp
27,Hail Merry Cups - Almond Butter,4.50,assets/images/items/Bowow-Builder-Images/Hail Merry Cups - Almond Butter.webp
28,Perfect Bar - Salted Caramel,4.00,assets/images/items/Bowow-Builder-Images/Perfect Bar - Salted Caramel.webp
29,Perfect Bar - Chocolate Hazelnut Crisp,4.00,assets/images/items/Bowow-Builder-Images/Perfect Bar - Chocolate Hazelnut Crisp.webp
30,Perfect Bar - Dark Chocolate Almond,4.00,assets/images/items/Bowow-Builder-Images/Perfect Bar - Dark Chocolate Almond.webp
31,Perfect Bar - Peanut Butter,4.00,assets/images/items/Bowow-Builder-Images/Perfect Bar - Peanut Butter.webp
32,Abe's Mom - Gluten Free Muffin - coffee cake,3.50,assets/images/items/Bowow-Builder-Images/Abe's Mom - Gluten Free Muffin - coffee cake.webp
33,Abe's Mom - Vegan Muffin - blueberry,3.50,assets/images/items/Bowow-Builder-Images/Abe's Mom - Vegan Muffin - blueberry.webp
34,Bakerly - Chocolate Hazelnut Crepes,6,assets/images/items/Bowow-Builder-Images/Bakerly - Chocolate Hazelnut Crepes.webp
35,Bakerly - Strawberry Filled Crepes,6,assets/images/items/Bowow-Builder-Images/Bakerly - Strawberry Filled Crepes.webp
36,Justins - Peanut Butter Cups - Dark Chocolate,2.8,assets/images/items/Bowow-Builder-Images/Justins - Peanut Butter Cups - Dark Chocolate.webp
37,Justin's - Almond Butter Cups - Dark Chocolate,2.8,assets/images/items/Bowow-Builder-Images/Justin's - Almond Butter Cups - Dark Chocolate.webp
38,Justin's - Almond Butter Squeeze,1.7,assets/images/items/Bowow-Builder-Images/Justin's - Almond Butter Squeeze.webp
39,Justin's - Hazelnut & Almond Butter Squeeze,1.7,assets/images/items/Bowow-Builder-Images/Justin's - Hazelnut & Almond Butter Squeeze.webp
40,Pipcorn - Cinnamon Sugar Twists,2.25,assets/images/items/Bowow-Builder-Images/Pipcorn - Cinnamon Sugar Twists.webp
41,Tortilleria Mi Niña - Organic Sea Salt,7,assets/images/items/Bowow-Builder-Images/Tortilleria Mi Niña - Organic Sea Salt.webp
42,The Bites Company - Biscotti Lemon Bites (4.5 OZ),5.5,assets/images/items/Bowow-Builder-Images/The Bites Company - Biscotti Lemon Bites (4.5 OZ).webp
43,The Bites Company - Biscotti Almond Bites (4.5 OZ),5.5,assets/images/items/Bowow-Builder-Images/The Bites Company - Biscotti Almond Bites (4.5 OZ).webp
44,The Bites Company - Biscotti Chocolate Bites (4.5 OZ),5.5,assets/images/items/Bowow-Builder-Images/The Bites Company - Biscotti Chocolate Bites (4.5 OZ).webp
45,Tate's - Tiny Cookies,2.8,assets/images/items/Bowow-Builder-Images/Tate's - Tiny Cookies.webp
46,Michel & Augustin - Cookie Squares,2.5,assets/images/items/Bowow-Builder-Images/Michel & Augustin - Cookie Squares.webp
47,Lenny & Larry's - The Complete Cookie - White Chocolate Flavored Macademia,3.5,assets/images/items/Bowow-Builder-Images/Lenny & Larry's - The Complete Cookie - White Chocolate Flavored Macademia.webp
48,Lenny & Larry's - The Complete Cookie - Snickerdoodle,3.5,assets/images/items/Bowow-Builder-Images/Lenny & Larry's - The Complete Cookie - Snickerdoodle.webp
49,Annie's - Bunny Grahams - Honey,7.3,assets/images/items/Bowow-Builder-Images/Annie's - Bunny Grahams - Honey.webp
50,Tate's - Glutten Free Chocolate Chip Cookies,6.7,assets/images/items/Bowow-Builder-Images/Tate's - Glutten Free Chocolate Chip Cookies.webp
51,Michel & Augustin - Cookies Squares - Chocolate and Toasted Hazelnuts,6.95,assets/images/items/Bowow-Builder-Images/Michel & Augustin - Cookies Squares - Chocolate and Toasted Hazelnuts.webp
52,The Bites Company - Biscotti Chocolate Bites (1.25 OZ),3,assets/images/items/Bowow-Builder-Images/The Bites Company - Biscotti Chocolate Bites (1.25 OZ).webp
53,The Bites Company - Biscotti Lemon Bites (1.25 OZ),3,assets/images/items/Bowow-Builder-Images/The Bites Company - Biscotti Lemon Bites (1.25 OZ).webp
54,The Bites Company - Biscotti Brown Butter Bites (1.25 OZ),3,assets/images/items/Bowow-Builder-Images/The Bites Company - Biscotti Brown Butter Bites (1.25 OZ).webp
55,Free 2B - Sunflower Butter Cups - Chocolate,6.75,assets/images/items/Bowow-Builder-Images/Free 2B - Sunflower Butter Cups - Chocolate.webp
56,Free 2B - Sunflower Butter Cups - Dark Chocolate,4.75,assets/images/items/Bowow-Builder-Images/Free 2B - Sunflower Butter Cups - Dark Chocolate.webp
57,Panda - Licorice - Soft Original,4.75,assets/images/items/Bowow-Builder-Images/Panda - Licorice - Soft Original.webp
58,Panda - Licorice - Raspberry,4.75,assets/images/items/Bowow-Builder-Images/Panda - Licorice - Raspberry.webp
